car,price,body,mileage,engV,engType,registration,year,model,drive
Volkswagen,12500,van,190,1.9,Diesel,yes,2008,T5 (Transporter) Ô‡ÒÒ.,front
Renault,15820.35,sedan,0,1.5,Diesel,yes,2016,Fluence,front
Hyundai,12500,sedan,50,1.6,Petrol,yes,2013,Elantra,front
Jeep,55000,crossover,40,3.8,Petrol,yes,2011,Wrangler,full
Jeep,36999,crossover,0,2.4,Petrol,yes,2014,Cherokee,full
Skoda,8100,hatch,101,1.4,Petrol,yes,2011,Fabia,front
Kia,11111,sedan,44,1.4,Gas,yes,2013,Rio,front
Opel,5850,van,206,1.3,Diesel,yes,2011,Combo „ÛÁ.,front
Mercedes-Benz,35000,other,147,6,Petrol,yes,2001,S 600,rear
Chevrolet,3500,other,198,3.1,Gas,yes,2015,Lumina,front
Opel,8700,van,305,1.9,Diesel,yes,2005,Vivaro Ô‡ÒÒ.,front
Chevrolet,6300,sedan,96,1.6,Other,yes,2008,Lacetti,front
Audi,31999,sedan,107,3,Diesel,yes,2009,A8,full
Mitsubishi,4800,hatch,206,1.6,Gas,yes,2001,Carisma,front
Fiat,7100,other,105,1.3,Diesel,yes,2007,Doblo Ô‡ÒÒ.,front
Renault,7650,van,151,1.5,Diesel,yes,2012,Kangoo „ÛÁ.,front
Renault,7400,vagon,200,1.5,Diesel,yes,2007,Megane,front
Audi,63200,sedan,0,2,Petrol,yes,2016,A6,full
Mercedes-Benz,12200,other,287,3.2,Petrol,yes,2000,ML 320,full
Volkswagen,8650,van,108,1.6,Diesel,yes,2013,Caddy „ÛÁ.,front
Volkswagen,12850,crossover,200,2.5,Diesel,yes,2006,Touareg,full
Volkswagen,15200,crossover,58,2,Petrol,yes,2008,Tiguan,full
Audi,62000,vagon,24,3,Diesel,yes,2015,A6 Allroad,full
Mercedes-Benz,39000,crossover,195,5,Gas,yes,2002,G 500,full
Volkswagen,9600,sedan,106,1.6,Petrol,yes,2011,Polo,front
Hyundai,9800,crossover,66,2,Petrol,yes,2007,Tucson,front
Mazda,8100,other,85,1.3,Petrol,yes,2004,RX-8,rear
Infiniti,23999,other,40,3.7,Petrol,yes,2008,G37,rear
BMW,13000,sedan,193,3.6,Petrol,yes,2003,735,rear
Renault,7200,sedan,69,1.4,Petrol,yes,2012,Symbol,front
Bentley,499999,crossover,0,6,Petrol,yes,2016,Bentayga,full
Suzuki,10950,crossover,181,2,Other,yes,2008,Grand Vitara,full
Mercedes-Benz,62000,crossover,150,3,Diesel,yes,2013,GL 350,full
Mazda,10200,sedan,67,1.6,Petrol,yes,2009,3,front
Nissan,13000,hatch,45,1,Other,yes,2012,Leaf,
Toyota,54000,crossover,147,4.5,Diesel,yes,2011,Land Cruiser 200,full
Nissan,5300,hatch,107,1.2,Petrol,yes,2008,Micra,front
Opel,4450,vagon,165,1.6,Petrol,yes,2000,Astra G,front
Nissan,12350,crossover,154,2,Gas,yes,2007,X-Trail,full
Toyota,29900,crossover,144,4,Gas,yes,2008,Land Cruiser 200,full
Mercedes-Benz,28500,hatch,15,1.8,Diesel,yes,2014,A 180,front
Hyundai,10900,sedan,115,2,Other,yes,2008,Sonata,front
Hyundai,6200,sedan,112,1.4,Petrol,yes,2007,Accent,front
Volkswagen,13700,other,200,2.5,Diesel,yes,2005,Touareg,full
Kia,6500,hatch,103,2,Petrol,yes,2006,Cerato,front
Volkswagen,8900,van,169,1.9,Diesel,yes,2008,Caddy Ô‡ÒÒ.,front
Mitsubishi,14500,crossover,167,3,Gas,yes,2008,Pajero Wagon,full
Volkswagen,13500,van,124,2,Diesel,yes,2013,T6 (Transporter) „ÛÁ,front
Honda,15300,sedan,46,1.8,Petrol,yes,2013,Civic,front
VAZ,1950,sedan,91,1.5,Petrol,yes,2005,2107,rear
Fiat,7800,hatch,90,1.4,Petrol,yes,2012,Grande Punto,front
Subaru,16500,sedan,145,2.5,Petrol,yes,2013,Legacy,full
Opel,6150,sedan,87,1.4,Gas,yes,2007,Astra G,front
Renault,7999,van,154,1.5,Diesel,yes,2008,Scenic,front
Lexus,35000,crossover,87,4.7,Gas,yes,2007,LX 470,full
Mazda,20000,sedan,25,2,Petrol,yes,2015,6,front
Volkswagen,11990,van,231,2.5,Diesel,yes,2002,Caravelle,front
Ford,12900,hatch,35,1,Petrol,yes,2014,Fiesta,front
BMW,32500,vagon,162,3,Diesel,yes,2012,530,rear
Volkswagen,11990,van,231,2.5,Diesel,yes,2002,T4 (Transporter) Ô‡ÒÒ.,front
Volkswagen,6400,van,181,2,Diesel,yes,2008,Caddy „ÛÁ.,front
Mercedes-Benz,18800,other,90,1.8,Petrol,yes,2008,CLC 180,rear
Subaru,10200,sedan,112,2.5,Petrol,yes,2007,Legacy,full
Mercedes-Benz,39900,other,88,6.2,Petrol,yes,2008,CL 63 AMG,rear
Renault,13500,van,198,1.5,Diesel,yes,2012,Grand Scenic,front
Lexus,15300,crossover,162,3.3,Petrol,yes,2006,RX 330,full
Volkswagen,10200,van,153,2.5,Diesel,yes,2007,T5 (Transporter) Ô‡ÒÒ.,front
Mercedes-Benz,9000,sedan,198,4,Diesel,yes,2002,S 400,
Chevrolet,44000,other,1,2,Petrol,yes,2016,Camaro,rear
Fiat,8900,vagon,124,1.3,Diesel,yes,2011,Qubo Ô‡ÒÒ.,front
Toyota,27000,other,192,3,Diesel,yes,2007,Hilux,full
Ford,35000,other,67,5,Gas,yes,2011,F-150,full
Suzuki,6999,hatch,92,1.3,Petrol,yes,2007,Swift,front
Honda,9300,sedan,116,2,Petrol,yes,2006,Accord,front
Renault,6700,van,220,2,Other,yes,2007,Trafic „ÛÁ.,front
Subaru,11900,crossover,110,2,Petrol,yes,2008,Forester,full
Mazda,7999,sedan,135,2,Gas,yes,2006,6,front
Audi,22999,crossover,125,4.2,Petrol,yes,2008,Q7,full
Toyota,23500,sedan,80,2.5,Gas,yes,2014,Camry,front
Subaru,12900,crossover,139,2.5,Petrol,yes,2008,Forester,full
Renault,7500,sedan,131,1.6,Petrol,yes,2009,Megane,front
BMW,9500,sedan,339,3,Diesel,yes,2001,530,rear
Mercedes-Benz,9600,van,184,2.2,Diesel,yes,2012,Vito „ÛÁ.,rear
Mitsubishi,17900,crossover,89,3.8,Gas,yes,2008,Pajero Wagon,full
Honda,10300,sedan,106,2,Petrol,yes,2007,Accord,front
Opel,11700,hatch,30,1.6,Gas,yes,2014,Astra H,front
Honda,8500,crossover,90,2.4,Petrol,no,2011,CR-V,full
Volkswagen,28660,van,0,1.6,Diesel,yes,2016,Caddy Ô‡ÒÒ.,front
Suzuki,7700,hatch,78,1.3,Petrol,yes,2007,Swift,front
Volkswagen,9800,van,160,1.9,Diesel,yes,2009,Caddy Ô‡ÒÒ.,front
Mercedes-Benz,41900,sedan,95,6.3,Petrol,yes,2011,S 63 AMG,
Lamborghini,130000,other,20,5,Petrol,yes,2008,Gallardo,full
Toyota,10500,van,200,2.7,Gas,yes,2005,Tacoma,rear
Mercedes-Benz,2800,other,220,2.3,Petrol,no,2000,CLK 230,rear
Mercedes-Benz,0,sedan,16,3,Diesel,yes,2014,S 350,front
Volkswagen,16200,sedan,116,2,Diesel,yes,2011,Passat B7,front
Renault,8299,sedan,19,1.2,Petrol,yes,2013,Logan,front
Mercedes-Benz,104000,crossover,16,5.5,Petrol,yes,2015,ML 63 AMG,full
BMW,34000,sedan,115,5,Petrol,yes,2008,750,full
Mercedes-Benz,0,sedan,16,3,Diesel,yes,2014,S 350,full
Honda,18500,sedan,1,1.5,Petrol,yes,2016,Civic,front
Tesla,64900,sedan,23,NA,Other,yes,2013,Model S,rear
Lexus,45300,crossover,1,2,Petrol,yes,2015,NX 200,full
Ford,9750,hatch,99,1.6,Petrol,yes,2012,Focus,front
Audi,30900,crossover,70,2,Petrol,yes,2012,Q3,full
Toyota,26900,crossover,119,4,Gas,yes,2008,Land Cruiser Prado,full
Mercedes-Benz,28900,other,78,3.5,Petrol,yes,2010,E-Class,rear
Mercedes-Benz,0,crossover,0,2.2,Diesel,yes,2016,GLC-Class,full
Mercedes-Benz,35300,sedan,3,1.6,Petrol,yes,2014,CLA 200,front
Toyota,0,crossover,1,2.2,Diesel,yes,2016,Rav 4,full
Skoda,12999,sedan,70,1.6,Petrol,yes,2013,Octavia A5,front
Audi,80999,crossover,0,3,Diesel,yes,2016,Q7,full
Toyota,45500,crossover,45,3.5,Petrol,yes,2015,Highlander,full
BMW,27000,sedan,137,5,Other,yes,2005,M5,
Lexus,24500,hatch,70,1.8,Other,yes,2012,CT,front
Kia,13111,sedan,11,1.4,Petrol,yes,2015,Rio,front
Mercedes-Benz,6200,van,196,2.2,Diesel,yes,2002,Vito Ô‡ÒÒ.,front
VAZ,9500,crossover,7,1.7,Petrol,yes,2015,2121,full
Infiniti,16800,sedan,156,3.5,Gas,yes,2007,M35,full
Chevrolet,6900,sedan,167,2,Petrol,yes,2008,Epica,front
Opel,7800,sedan,171,2.2,Petrol,yes,2006,Vectra C,front
VAZ,4100,sedan,87,1.6,Gas,yes,2008,2170,
Hyundai,8900,hatch,118,1.6,Diesel,yes,2008,i30,front
Mitsubishi,8900,hatch,125,1.8,Petrol,yes,2009,Lancer X Sportback,front
VAZ,4400,other,122,1.6,Gas,yes,2012,2113,front
Opel,4900,sedan,130,1.4,Gas,yes,2007,Astra G,front
Honda,8700,crossover,120,2,Petrol,yes,2006,HR-V,full
Volkswagen,7700,van,247,1.9,Diesel,yes,2002,T4 (Transporter) Ô‡ÒÒ.,front
Nissan,22500,crossover,95,5.6,Petrol,yes,2008,Armada,full
Mercedes-Benz,2400,sedan,1,2,Petrol,no,2001,C-Class,rear
Skoda,4999,hatch,250,1.9,Other,no,2007,Octavia A5,front
Mitsubishi,10888,sedan,63,2,Petrol,yes,2012,Lancer X,front
Hyundai,29800,other,49,2.4,Petrol,yes,2013,Santa FE,full
Mercedes-Benz,19500,sedan,180,3,Diesel,yes,2008,E-Class,full
Audi,7900,sedan,242,2,Petrol,yes,2002,A4,
Mercedes-Benz,15300,other,234,2.2,Diesel,yes,2008,Sprinter 315 Ô‡ÒÒ.,rear
VAZ,4464,sedan,111,1.6,Petrol,yes,2010,2170,front
BMW,10900,sedan,375,4.4,Gas,yes,2001,740,rear
Skoda,6400,sedan,330,1.6,Gas,yes,2004,Octavia,front
Skoda,6000,sedan,180,1.6,Gas,yes,2002,Octavia,front
Audi,8999,vagon,200,2.7,Petrol,yes,2003,A6 Allroad,full
Lexus,34500,crossover,94,3.5,Petrol,yes,2012,RX 350,full
Hyundai,12900,crossover,49,2.7,Petrol,yes,2008,Tucson,full
Toyota,18300,hatch,30,1.6,Petrol,yes,2014,Auris,front
Acura,8700,sedan,145,3.2,Gas,yes,2005,TL,front
VAZ,0,vagon,105,1.6,Petrol,yes,2006,2111,front
Opel,12350,van,159,2,Diesel,yes,2010,Vivaro Ô‡ÒÒ.,front
Nissan,7700,sedan,178,3,Gas,yes,2001,Maxima,front
Volkswagen,49500,crossover,80,3,Diesel,yes,2014,Touareg,full
Skoda,7800,sedan,240,1.8,Gas,yes,2006,Octavia Tour,front
Audi,12999,vagon,225,2.5,Diesel,yes,2004,A6 Allroad,full
Hyundai,13500,crossover,130,2.2,Diesel,yes,2007,Santa FE,full
Mercedes-Benz,1600,hatch,180,NA,Petrol,no,2000,A 160,front
Volkswagen,10500,van,299,2.5,Diesel,yes,2002,Syncro,full
Renault,8400,van,248,2.5,Diesel,yes,2005,Trafic Ô‡ÒÒ.,front
Mercedes-Benz,16500,van,386,2.2,Diesel,yes,2006,Sprinter 313 Ô‡ÒÒ.,rear
Toyota,28800,crossover,29,2.2,Diesel,yes,2015,Rav 4,full
Chevrolet,7500,sedan,121,1.6,Gas,yes,2008,Lacetti,front
Volkswagen,9300,van,200,1.6,Diesel,yes,2011,Caddy Ô‡ÒÒ.,front
Renault,2350,van,380,1.9,Diesel,no,2003,Espace,front
Kia,6700,hatch,95,1.4,Petrol,yes,2008,Rio,front
Infiniti,14300,sedan,149,3.5,Petrol,yes,2007,G35,rear
Cadillac,145000,crossover,1,6.2,Petrol,yes,2016,Escalade,full
Mitsubishi,10400,sedan,123,2,Petrol,yes,2009,Lancer X,front
BMW,22000,other,138,4.8,Petrol,yes,2007,650,rear
Ford,9500,hatch,116,1.4,Petrol,yes,2011,Fiesta,front
Mazda,11500,sedan,100,2,Gas,yes,2009,6,front
Opel,1900,vagon,250,2,Diesel,no,2000,Vectra B,front
Volkswagen,10650,van,130,2,Diesel,yes,2011,T5 (Transporter) „ÛÁ,front
Mitsubishi,17900,crossover,87,3.8,Gas,yes,2008,Pajero Wagon,full
Nissan,87777,other,3,3.8,Petrol,yes,2010,GT-R,full
Porsche,63500,crossover,4,3,Petrol,yes,2015,Macan,full
Toyota,13300,crossover,140,2.4,Petrol,yes,2007,Rav 4,full
Toyota,5050,hatch,138,1,Petrol,yes,2001,Yaris,front
BYD,6200,sedan,70,1.5,Petrol,yes,2012,F3,front
Chevrolet,5800,sedan,104,1.6,Gas,yes,2009,Aveo,front
Audi,8200,other,326,2.5,Diesel,yes,2002,A6,full
Mercedes-Benz,18900,other,111,2.5,Petrol,yes,2009,C-Class,rear
Hyundai,5950,sedan,109,1.4,Petrol,yes,2008,Accent,front
Ford,3300,van,178,1.9,Diesel,yes,2000,Galaxy,front
Mercedes-Benz,16500,sedan,190,2.2,Diesel,yes,2007,C-Class,rear
VAZ,4600,sedan,122,1.6,Other,yes,2008,2170,front
Skoda,8800,sedan,86,1.9,Diesel,yes,2007,Superb,front
Volkswagen,15000,vagon,69,1.4,Petrol,yes,2012,Touran,front
BMW,0,sedan,43,3,Petrol,yes,2011,535,
Chevrolet,4500,sedan,133,1.5,Gas,yes,2004,Aveo,front
Ford,11990,van,21,1.4,Petrol,yes,2013,B-Max,front
Suzuki,6400,hatch,117,1.3,Petrol,yes,2006,Swift,front
Mitsubishi,1600,vagon,185,1.3,Petrol,no,2000,Space Star,front
Mercedes-Benz,25500,crossover,200,4,Diesel,yes,2007,GL 420,full
Audi,8999,vagon,190,2.7,Gas,yes,2004,A6 Allroad,full
Volkswagen,10200,van,253,2.5,Diesel,yes,2008,T5 (Transporter) Ô‡ÒÒ.,front
Subaru,10799,crossover,140,2,Petrol,yes,2008,Forester,full
Ford,16699,other,133,4,Petrol,yes,2008,Mustang,rear
Ford,3999,crossover,440,2,Diesel,yes,2003,Transit „ÛÁ.,front
Hyundai,12899,crossover,49,2.7,Petrol,yes,2008,Tucson,full
Nissan,7150,van,117,1.5,Diesel,yes,2011,NV,front
Toyota,20000,crossover,250,4.2,Diesel,yes,2000,Land Cruiser 100,full
Subaru,8899,vagon,134,2.5,Petrol,yes,2006,Outback,full
VAZ,1900,sedan,1,NA,Other,yes,2003,2107,
Hyundai,8800,sedan,71,2,Petrol,yes,2007,Sonata,front
Renault,10100,van,64,2,Diesel,yes,2014,Trafic „ÛÁ.,front
Kia,11800,crossover,133,2.5,Diesel,yes,2007,Sorento,full
BMW,64900,crossover,73,3,Diesel,yes,2013,X6 M,full
Nissan,9100,van,93,2,Diesel,yes,2013,Primastar „ÛÁ.,front
Lexus,6350,sedan,179,2.2,Diesel,no,2006,ES 200,front
Nissan,19999,crossover,145,3,Diesel,yes,2008,Patrol,full
Renault,5000,vagon,34,1.5,Diesel,yes,2013,Logan,front
Volkswagen,9000,van,275,2.5,Diesel,yes,2002,T4 (Transporter) Ô‡ÒÒ.,front
Volkswagen,3999,hatch,152,1,Petrol,yes,2000,Lupo,front
Mercedes-Benz,99000,sedan,0,3,Petrol,yes,2016,CLS 400,full
Toyota,42000,crossover,97,4,Petrol,yes,2010,4Runner,full
Opel,9000,other,156,2,Diesel,yes,2007,Vivaro „ÛÁ.,front
Nissan,14000,crossover,165,3.5,Petrol,yes,2008,Murano,full
Jeep,86700,crossover,6,3.8,Petrol,yes,2011,Wrangler,full
Renault,5600,vagon,112,1.5,Diesel,yes,2006,Kangoo Ô‡ÒÒ.,front
Mercedes-Benz,5500,sedan,100,99.99,Petrol,yes,2007,S 550,full
Renault,10550,van,195,2,Diesel,yes,2011,Trafic „ÛÁ.,front
Land Rover,285000,crossover,0,5,Petrol,yes,2016,Range Rover,full
Mercedes-Benz,8200,other,199,2.2,Diesel,yes,2001,Vito Ô‡ÒÒ.,front
Chevrolet,7499,sedan,107,2.5,Petrol,yes,2007,Epica,front
BMW,42000,crossover,128,4.4,Petrol,yes,2011,X5 M,full
Mitsubishi,14200,crossover,155,3,Gas,yes,2007,Outlander XL,full
Land Rover,109999,crossover,0,3,Diesel,yes,2016,Range Rover Sport,full
Suzuki,4800,vagon,178,99.99,Gas,yes,2001,Ignis,front
Mercedes-Benz,0,other,0,4.7,Petrol,yes,2016,S 500,full
Mitsubishi,10200,sedan,102,2,Gas,yes,2008,Lancer X,front
Chevrolet,4900,sedan,111,1.5,Gas,yes,2006,Aveo,front
Chevrolet,7300,sedan,75,1.6,Gas,yes,2012,Lacetti,front
Volkswagen,10700,van,274,2.5,Diesel,yes,2001,T4 (Transporter) Ô‡ÒÒ.,front
Fiat,13820,sedan,0,1.4,Petrol,yes,2016,Tipo,front
Volkswagen,7700,van,228,1.9,Diesel,yes,2006,Caddy Ô‡ÒÒ.,front
BMW,15000,crossover,85,4.8,Petrol,no,2010,X5,full
Renault,3600,van,199,1.9,Diesel,yes,2000,Kangoo Ô‡ÒÒ.,front
Lexus,46500,crossover,35,3.5,Petrol,yes,2013,RX 350,full
Mercedes-Benz,24500,sedan,180,3.2,Diesel,yes,2008,S 320,rear
Renault,3300,van,256,1.5,Diesel,yes,2005,Kangoo „ÛÁ.,front
BMW,8900,sedan,240,2,Diesel,yes,2001,320,rear
Renault,8400,hatch,84,1.5,Diesel,yes,2011,Kangoo Ô‡ÒÒ.,front
Chevrolet,7300,sedan,120,1.8,Petrol,yes,2008,Lacetti,front
Fiat,5000,other,290,1.9,Diesel,yes,2003,Doblo Ô‡ÒÒ.,front
Skoda,9600,hatch,84,1.8,Petrol,yes,2006,Octavia Tour,front
Mercedes-Benz,59999,sedan,11,4.7,Petrol,yes,2012,CLS 500,full
Infiniti,18500,sedan,84,2.5,Petrol,yes,2010,G25,rear
Ford,14199,other,165,2.2,Diesel,yes,2013,Transit Custom,front
Mazda,8500,sedan,135,2.3,Petrol,yes,2008,6 MPS,full
Hyundai,30900,crossover,0,2,Petrol,yes,2016,Tucson,full
Volkswagen,9800,van,196,1.6,Diesel,yes,2011,Caddy „ÛÁ.,front
Hyundai,6700,sedan,54,1.4,Petrol,yes,2008,Accent,front
Volkswagen,12500,crossover,230,3.2,Gas,yes,2003,Touareg,full
Opel,15000,sedan,123,2,Petrol,yes,2009,Insignia,front
Toyota,38300,crossover,130,5.7,Gas,yes,2009,Land Cruiser 200,full
Kia,13000,crossover,155,2.5,Diesel,yes,2008,Sorento,full
Toyota,14990,crossover,280,4.2,Diesel,yes,2000,Land Cruiser 100,full
Porsche,41999,other,69,3.8,Petrol,yes,2007,911,rear
Ford,7999,other,254,2.2,Diesel,yes,2011,Transit „ÛÁ.,front
Mazda,32000,sedan,0,2,Petrol,yes,2016,6,front
Bentley,53500,sedan,108,6,Petrol,yes,2008,Continental,full
Toyota,5750,hatch,160,1,Petrol,yes,2006,Yaris,front
Toyota,41900,van,0,2.5,Diesel,yes,2016,Hiace Ô‡ÒÒ.,rear
Honda,18500,sedan,1,NA,Other,yes,2016,City,
VAZ,6200,crossover,89,1.7,Petrol,yes,2009,2121,full
Ford,8499,other,161,2.2,Diesel,yes,2011,Transit „ÛÁ.,front
Hyundai,0,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Opel,8399,hatch,129,1.3,Diesel,yes,2007,Astra H,front
Ford,10500,other,228,2.2,Diesel,yes,2011,Transit „ÛÁ.,front
Infiniti,19000,crossover,55,4.5,Gas,yes,2007,FX 45,full
Hyundai,0,crossover,0,2,Diesel,yes,2016,Tucson,full
Mercedes-Benz,124000,crossover,0,4,Petrol,yes,2016,GLS 400,full
Land Rover,57000,crossover,0,2.2,Diesel,yes,2016,Discovery Sport,full
Infiniti,29000,sedan,98,3.7,Petrol,yes,2013,M37,full
Fiat,7000,vagon,112,1.4,Other,yes,2007,Doblo Panorama,front
Ford,10500,hatch,30,1.4,Petrol,yes,2011,Fiesta,front
Volkswagen,14500,vagon,229,2,Diesel,yes,2009,Passat B6,front
Honda,7850,hatch,70,1.3,Petrol,yes,2011,Jazz,front
Toyota,8300,hatch,136,1.6,Petrol,yes,2007,Corolla,front
Kia,10300,sedan,55,1.6,Petrol,yes,2013,Rio,front
Mercedes-Benz,13500,van,259,3,Diesel,yes,2007,Vito Ô‡ÒÒ.,rear
Mercedes-Benz,160000,other,8,4.6,Petrol,yes,2015,S 500,full
Hyundai,5300,van,342,2.5,Diesel,yes,2000,H 200 „ÛÁ.,rear
Mercedes-Benz,31500,van,95,2.2,Diesel,yes,2013,Vito Ô‡ÒÒ.,rear
Skoda,12800,sedan,118,1.8,Petrol,yes,2010,Octavia A5,front
VAZ,2999,sedan,114,1.5,Gas,yes,2005,21099,front
VAZ,3900,hatch,90,1.6,Petrol,yes,2011,2172,front
Chevrolet,65000,other,0,2,Petrol,yes,2016,Camaro,rear
Subaru,16999,hatch,96,2.5,Petrol,yes,2008,Impreza WRX STI,full
Lexus,24555,crossover,152,4.7,Gas,yes,2007,LX 470,full
Volkswagen,8200,hatch,157,1.6,Petrol,yes,2008,Golf Plus,front
Hyundai,12777,crossover,102,2,Petrol,yes,2008,Tucson,full
Mitsubishi,6000,sedan,150,1.8,Gas,yes,2004,Virage,front
Nissan,6350,van,153,3.5,Other,no,2004,Elgrand,rear
Mercedes-Benz,1990,hatch,230,1.7,Other,no,2001,A 170,front
Toyota,17500,crossover,168,4,Gas,yes,2004,Land Cruiser Prado,full
Mercedes-Benz,5800,van,368,2.2,Diesel,yes,2000,Vito Ô‡ÒÒ.,front
Nissan,16200,hatch,35,NA,Other,yes,2015,Leaf,front
Ford,15000,van,31,1.5,Diesel,yes,2015,Tourneo Courier,front
Volkswagen,9500,hatch,62,1.2,Diesel,yes,2011,Polo,front
VAZ,2750,hatch,1,1.5,Petrol,yes,2006,21093,front
Fiat,2550,vagon,220,1.6,Gas,no,2003,Stilo,front
Chevrolet,6800,van,140,4.3,Petrol,yes,2004,Astro Ô‡ÒÒ.,rear
BMW,23700,crossover,117,2,Diesel,yes,2010,X1,rear
BMW,40000,crossover,48,4.4,Petrol,yes,2009,X6,full
Opel,7200,hatch,160,1.6,Petrol,yes,2005,Astra H,front
Jeep,19500,crossover,143,3,Diesel,yes,2008,Grand Cherokee,full
Mercedes-Benz,51000,sedan,119,4.7,Petrol,yes,2012,S 500,full
Toyota,9400,sedan,140,1.6,Petrol,yes,2008,Corolla,front
Skoda,8500,hatch,66,1.4,Petrol,yes,2013,Fabia,front
Hyundai,8500,hatch,76,1.1,Petrol,yes,2011,i10,front
Renault,9500,hatch,77,1.6,Petrol,yes,2011,Megane,front
Suzuki,10300,crossover,231,2.7,Petrol,yes,2007,Grand Vitara,full
Toyota,10600,sedan,204,1.8,Other,yes,2008,Avensis,front
Skoda,13800,sedan,125,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,7300,hatch,131,1.4,Petrol,yes,2011,Fabia,front
Renault,9500,sedan,89,1.6,Petrol,yes,2012,Fluence,front
Toyota,10400,sedan,144,1.3,Petrol,yes,2012,Corolla,front
Renault,12900,crossover,89,2.5,Petrol,yes,2010,Koleos,full
Ford,9900,sedan,73,1.6,Petrol,yes,2011,Focus,front
Skoda,8600,sedan,87,1.6,Petrol,yes,2009,Octavia Tour,front
Hyundai,12700,vagon,90,2,Petrol,yes,2012,Tucson,full
BMW,37500,crossover,110,4.4,Petrol,yes,2011,X6,full
Skoda,13500,vagon,90,1.8,Petrol,yes,2011,Yeti,full
Fiat,4490,van,375,1.3,Diesel,yes,2008,Doblo „ÛÁ.,front
Opel,5100,vagon,270,1.7,Diesel,yes,2003,Astra G,front
Ford,16600,hatch,30,NA,Other,yes,2013,Focus Electric,front
Hyundai,12600,sedan,87,1.6,Petrol,yes,2012,Elantra,front
Cadillac,20500,crossover,143,4.6,Petrol,yes,2006,SRX,full
Chevrolet,5500,hatch,157,1.5,Petrol,yes,2008,Aveo,front
Audi,20900,crossover,185,4.2,Petrol,yes,2006,Q7,full
Land Rover,45000,crossover,83,2.4,Diesel,yes,2008,Defender,full
Ford,68900,other,1,5,Petrol,yes,2016,Mustang GT,rear
Opel,10999,sedan,1,1.4,Petrol,yes,2008,Astra G,front
VAZ,1850,sedan,42,1.6,Gas,yes,2004,2107,rear
Mercedes-Benz,12700,hatch,140,1.7,Gas,yes,2007,B 170,front
Mitsubishi,1999,van,168,1.8,Petrol,no,2001,Space Star,front
Chevrolet,6999,sedan,132,1.6,Gas,yes,2007,Aveo,front
Toyota,16030,sedan,90,2.5,Gas,yes,2012,Camry,front
Chevrolet,44700,van,120,3.5,Petrol,yes,2013,Express Ô‡ÒÒ.,full
Volkswagen,44700,van,120,3.5,Petrol,yes,2013,Sharan,full
Ford,9000,hatch,47,1.4,Diesel,yes,2012,Fiesta,front
Chevrolet,4900,sedan,107,1.5,Petrol,yes,2007,Aveo,front
VAZ,1700,sedan,73,1.5,Petrol,yes,2004,2107,rear
VAZ,2800,vagon,209,1.6,Petrol,yes,2005,2111,front
Jeep,16999,crossover,170,3,Diesel,yes,2005,Grand Cherokee,full
Honda,10500,hatch,90,1.8,Petrol,yes,2008,Civic,front
Mercedes-Benz,9350,van,160,2.2,Diesel,yes,2008,Vito Ô‡ÒÒ.,rear
Renault,7500,van,128,1.5,Diesel,yes,2009,Kangoo Ô‡ÒÒ.,rear
Fiat,3900,van,190,1.3,Diesel,yes,2005,Doblo „ÛÁ.,front
VAZ,3700,crossover,92,1.7,Petrol,yes,2004,2121,full
BMW,9800,sedan,264,3,Diesel,yes,2001,530,rear
Skoda,6700,hatch,2,1.4,Gas,yes,2006,Fabia,
VAZ,2600,sedan,180,1.5,Gas,yes,2004,2115,front
Hyundai,8800,hatch,122,1.6,Diesel,yes,2008,i30,
Mercedes-Benz,30900,sedan,71,2.2,Diesel,yes,2012,E-Class,rear
Toyota,17999,crossover,35,2,Petrol,yes,2009,Rav 4,
Opel,8400,other,124,1.6,Petrol,yes,2008,Astra H,
Skoda,12200,sedan,137,1.2,Petrol,yes,2011,Octavia A5,front
Audi,19999,vagon,160,2,Petrol,yes,2010,A4 Allroad,full
Kia,8000,van,145,2,Diesel,yes,2008,Carens,front
Mercedes-Benz,7500,other,406,2.2,Diesel,yes,2003,Vito Ô‡ÒÒ.,front
BMW,6500,sedan,320,3,Gas,yes,2000,530,rear
Volkswagen,10300,sedan,235,2,Petrol,yes,2007,Passat B6,front
Mercedes-Benz,119000,sedan,27,3,Diesel,yes,2014,S 350,full
Subaru,18500,crossover,80,2,Petrol,yes,2012,Forester,full
Hyundai,12500,crossover,90,2,Diesel,yes,2008,Tucson,full
Mercedes-Benz,57000,other,0,1.6,Petrol,yes,2016,C-Class,rear
Mercedes-Benz,125000,sedan,9,3,Diesel,yes,2014,S 350,full
VAZ,2250,sedan,170,1.5,Gas,yes,2003,2110,front
Mercedes-Benz,14800,crossover,242,2.7,Diesel,yes,2005,ML 270,full
Mercedes-Benz,10500,sedan,285,1.8,Gas,yes,2003,E-Class,rear
Volkswagen,7990,sedan,90,1.4,Petrol,yes,2003,New Beetle,front
Mercedes-Benz,26600,van,122,3,Diesel,yes,2012,Vito Ô‡ÒÒ.,rear
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full
BMW,51500,hatch,77,3,Petrol,yes,2012,535,full
VAZ,2100,sedan,160,1.5,Petrol,yes,2004,2107,rear
Ford,109000,van,0,3.2,Diesel,yes,2016,Transit Ô‡ÒÒ.,rear
